deck_id,deck_source,cmc,name,type,price
oqK1hSOJiFqa71s1n_gVQg,https://archidekt.com/decks/7429421?utm_source=edhrec&utm_medium=deck_summary,3,"Birgi, God of Storytelling",Creature,$32.99
oqK1hSOJiFqa71s1n_gVQg,https://archidekt.com/decks/7429421?utm_source=edhrec&utm_medium=deck_summary,6,Chandra's Incinerator,Creature,$3.49
oqK1hSOJiFqa71s1n_gVQg,https://archidekt.com/decks/7429421?utm_source=edhrec&utm_medium=deck_summary,3,Cinder Pyromancer,Creature,$0.35
oqK1hSOJiFqa71s1n_gVQg,https://archidekt.com/decks/7429421?utm_source=edhrec&utm_medium=deck_summary,2,Coruscation Mage,Creature,$2.49
oqK1hSOJiFqa71s1n_gVQg,https://archidekt.com/decks/7429421?utm_source=edhrec&utm_medium=deck_summary,2,Electrostatic Field,Creature,$1.79
oqK1hSOJiFqa71s1n_gVQg,https://archidekt.com/decks/7429421?utm_source=edhrec&utm_medium=deck_summary,2,Firebrand Archer,Creature,$0.35
oqK1hSOJiFqa71s1n_gVQg,https://archidekt.com/decks/7429421?utm_source=edhrec&utm_medium=deck_summary,3,Firespitter Whelp,Creature,$0.39
oqK1hSOJiFqa71s1n_gVQg,https://archidekt.com/decks/7429421?utm_source=edhrec&utm_medium=deck_summary,3,Guttersnipe,Creature,$0.35
oqK1hSOJiFqa71s1n_gVQg,https://archidekt.com/decks/7429421?utm_source=edhrec&utm_medium=deck_summary,2,Kessig Flamebreather,Creature,$4.99
oqK1hSOJiFqa71s1n_gVQg,https://archidekt.com/decks/7429421?utm_source=edhrec&utm_medium=deck_summary,3,Kindlespark Duo,Creature,$0.35
oqK1hSOJiFqa71s1n_gVQg,https://archidekt.com/decks/7429421?utm_source=edhrec&utm_medium=deck_summary,3,"Livaan, Cultist of Tiamat",Creature,$0.35
oqK1hSOJiFqa71s1n_gVQg,https://archidekt.com/decks/7429421?utm_source=edhrec&utm_medium=deck_summary,3,Magus of the Wheel,Creature,$1.79
oqK1hSOJiFqa71s1n_gVQg,https://archidekt.com/decks/7429421?utm_source=edhrec&utm_medium=deck_summary,3,Rampaging Ferocidon,Creature,$1.79
oqK1hSOJiFqa71s1n_gVQg,https://archidekt.com/decks/7429421?utm_source=edhrec&utm_medium=deck_summary,2,Razorkin Needlehead,Creature,$12.99
oqK1hSOJiFqa71s1n_gVQg,https://archidekt.com/decks/7429421?utm_source=edhrec&utm_medium=deck_summary,4,Rodeo Pyromancers,Creature,$0.35
oqK1hSOJiFqa71s1n_gVQg,https://archidekt.com/decks/7429421?utm_source=edhrec&utm_medium=deck_summary,2,Sunset Strikemaster,Creature,$0.59
oqK1hSOJiFqa71s1n_gVQg,https://archidekt.com/decks/7429421?utm_source=edhrec&utm_medium=deck_summary,2,Sunshot Militia,Creature,$0.35
oqK1hSOJiFqa71s1n_gVQg,https://archidekt.com/decks/7429421?utm_source=edhrec&utm_medium=deck_summary,4,Sunspine Lynx,Creature,$4.99
oqK1hSOJiFqa71s1n_gVQg,https://archidekt.com/decks/7429421?utm_source=edhrec&utm_medium=deck_summary,2,Thermo-Alchemist,Creature,$0.35
oqK1hSOJiFqa71s1n_gVQg,https://archidekt.com/decks/7429421?utm_source=edhrec&utm_medium=deck_summary,2,Zookeeper Mechan,Creature,$0.35
oqK1hSOJiFqa71s1n_gVQg,https://archidekt.com/decks/7429421?utm_source=edhrec&utm_medium=deck_summary,4,Big Score,Instant,$2.29
oqK1hSOJiFqa71s1n_gVQg,https://archidekt.com/decks/7429421?utm_source=edhrec&utm_medium=deck_summary,3,Chaos Warp,Instant,$0.79
oqK1hSOJiFqa71s1n_gVQg,https://archidekt.com/decks/7429421?utm_source=edhrec&utm_medium=deck_summary,2,Demand Answers,Instant,$0.79
oqK1hSOJiFqa71s1n_gVQg,https://archidekt.com/decks/7429421?utm_source=edhrec&utm_medium=deck_summary,3,Display of Power,Instant,$0.49
oqK1hSOJiFqa71s1n_gVQg,https://archidekt.com/decks/7429421?utm_source=edhrec&utm_medium=deck_summary,1,Gut Shot,Instant,$5.49
oqK1hSOJiFqa71s1n_gVQg,https://archidekt.com/decks/7429421?utm_source=edhrec&utm_medium=deck_summary,1,Lightning Bolt,Instant,$1.99
oqK1hSOJiFqa71s1n_gVQg,https://archidekt.com/decks/7429421?utm_source=edhrec&utm_medium=deck_summary,2,Return the Favor,Instant,$4.49
oqK1hSOJiFqa71s1n_gVQg,https://archidekt.com/decks/7429421?utm_source=edhrec&utm_medium=deck_summary,1,Shock,Instant,$0.35
oqK1hSOJiFqa71s1n_gVQg,https://archidekt.com/decks/7429421?utm_source=edhrec&utm_medium=deck_summary,1,Spikefield Hazard,Instant,$0.69
oqK1hSOJiFqa71s1n_gVQg,https://archidekt.com/decks/7429421?utm_source=edhrec&utm_medium=deck_summary,3,Staggershock,Instant,$0.35
oqK1hSOJiFqa71s1n_gVQg,https://archidekt.com/decks/7429421?utm_source=edhrec&utm_medium=deck_summary,2,Tibalt's Trickery,Instant,$14.99
oqK1hSOJiFqa71s1n_gVQg,https://archidekt.com/decks/7429421?utm_source=edhrec&utm_medium=deck_summary,2,Unleash Fury,Instant,$0.69
