deck_id,deck_source,cmc,name,type,price
Sk3lneRBVDdnkj-dzAQWug,https://moxfield.com/decks/-YJf9hx4tUOQtWqXtAmd1g?utm_source=edhrec&utm_medium=deck_summary,4,"Ashling, Flame Dancer",Creature,$8.99
Sk3lneRBVDdnkj-dzAQWug,https://moxfield.com/decks/-YJf9hx4tUOQtWqXtAmd1g?utm_source=edhrec&utm_medium=deck_summary,2,Coruscation Mage,Creature,$2.29
Sk3lneRBVDdnkj-dzAQWug,https://moxfield.com/decks/-YJf9hx4tUOQtWqXtAmd1g?utm_source=edhrec&utm_medium=deck_summary,2,Electrostatic Field,Creature,$2.49
Sk3lneRBVDdnkj-dzAQWug,https://moxfield.com/decks/-YJf9hx4tUOQtWqXtAmd1g?utm_source=edhrec&utm_medium=deck_summary,2,Erebor Flamesmith,Creature,$0.79
Sk3lneRBVDdnkj-dzAQWug,https://moxfield.com/decks/-YJf9hx4tUOQtWqXtAmd1g?utm_source=edhrec&utm_medium=deck_summary,2,Firebrand Archer,Creature,$0.35
Sk3lneRBVDdnkj-dzAQWug,https://moxfield.com/decks/-YJf9hx4tUOQtWqXtAmd1g?utm_source=edhrec&utm_medium=deck_summary,3,Guttersnipe,Creature,$0.49
Sk3lneRBVDdnkj-dzAQWug,https://moxfield.com/decks/-YJf9hx4tUOQtWqXtAmd1g?utm_source=edhrec&utm_medium=deck_summary,2,Iron Myr,Creature,$0.69
Sk3lneRBVDdnkj-dzAQWug,https://moxfield.com/decks/-YJf9hx4tUOQtWqXtAmd1g?utm_source=edhrec&utm_medium=deck_summary,2,Kessig Flamebreather,Creature,$5.49
Sk3lneRBVDdnkj-dzAQWug,https://moxfield.com/decks/-YJf9hx4tUOQtWqXtAmd1g?utm_source=edhrec&utm_medium=deck_summary,4,"Longshot, Rebel Bowman",Creature,$12.99
Sk3lneRBVDdnkj-dzAQWug,https://moxfield.com/decks/-YJf9hx4tUOQtWqXtAmd1g?utm_source=edhrec&utm_medium=deck_summary,2,Razorkin Needlehead,Creature,$8.99
Sk3lneRBVDdnkj-dzAQWug,https://moxfield.com/decks/-YJf9hx4tUOQtWqXtAmd1g?utm_source=edhrec&utm_medium=deck_summary,2,Spider-Bot,Creature,$0.35
Sk3lneRBVDdnkj-dzAQWug,https://moxfield.com/decks/-YJf9hx4tUOQtWqXtAmd1g?utm_source=edhrec&utm_medium=deck_summary,4,Spitfire Lagac,Creature,$0.35
Sk3lneRBVDdnkj-dzAQWug,https://moxfield.com/decks/-YJf9hx4tUOQtWqXtAmd1g?utm_source=edhrec&utm_medium=deck_summary,4,Sunspine Lynx,Creature,$2.49
Sk3lneRBVDdnkj-dzAQWug,https://moxfield.com/decks/-YJf9hx4tUOQtWqXtAmd1g?utm_source=edhrec&utm_medium=deck_summary,2,Thermo-Alchemist,Creature,$0.35
